Title of dataset,ESS round,Edition,Production date,Respondent's identification number,Country,Design weight,Post-stratification weight including design weight,Population size weight (must be combined with dweight or pspwght),Analysis weight,Sampling probability,Sampling stratum,Primary sampling unit,Personal use of internet/e-mail/www,"Internet use, how often","Internet use, how much time on typical day, in minutes","News about politics and current affairs, watching, reading or listening, in minutes","Newspaper reading, politics/current affairs on average weekday","Newspaper reading, total time on average weekday","Most people try to take advantage of you, or try to be fair",Most of the time people helpful or mostly looking out for themselves,Most people can be trusted or you can't be too careful,"Radio listening, news/politics/current affairs on average weekday","Radio listening, total time on average weekday","TV watching, news/politics/current affairs on average weekday","TV watching, total time on average weekday",Placement on left right scale,Trust in the legal system,Trust in politicians,"Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom","Party voted for in last national election, United Kingdom",Feeling of safety of walking alone in local area after dark,How emotionally attached to [country],How emotionally attached to Europe,Belong to minority ethnic group in country,How often worry about your home being burgled,Born in country,Country of birth,Citizen of country,Member of a group discriminated against in this country,"Religion or denomination belonging to at present, United Kingdom","Religion or denomination belonging to in the past, United Kingdom",Number of people living regularly as member of household,Gender,Gender of second person in household,Year of birth,"Age of respondent, calculated","Age of respondent, calculated","Age group, post coded","Highest level of education, United Kingdom","Highest level of education, United Kingdom","Legal marital status, United Kingdom","Relationship with husband/wife/partner currently living with, United Kingdom",Important that government is strong and ensures safety,Important that government is strong and ensures safety,Region,"Region, United Kingdom",Year,Adjusted l/r placement
ESS5e03_6,5,3.6,18.08.2025,10100034,GB,1.0583352,0.4520096,2.1136785,0.9554029,,,,7.0,,,,1.0,1.0,7,3,5,0.0,4.0,2.0,7.0,2,5,5,66.0,,,,,1,,,2.0,4.0,1,,1,2,Not applicable,6666.0,2,2,1,1959,,51,,,,,,3.0,,Scotland,,2010,-3
ESS5e03_6,5,3.6,18.08.2025,10100059,GB,0.5291676,0.28761896,2.1136785,0.607934,,,,7.0,,,,1.0,2.0,8,7,8,0.0,2.0,2.0,7.0,6,8,6,66.0,,,,,1,,,2.0,3.0,1,,1,2,Church of England / Anglican,6666.0,1,1,6,1949,,61,,,,,,3.0,,Scotland,,2010,1
ESS5e03_6,5,3.6,18.08.2025,10100067,GB,0.5291676,0.47707477,2.1136785,1.0083827,,,,7.0,,,,1.0,2.0,6,3,6,1.0,1.0,2.0,3.0,5,6,5,1.0,,,,,1,,,2.0,3.0,1,,1,2,Not applicable,6666.0,1,1,6,1985,,25,,,,,,4.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10100075,GB,0.5291676,0.5541952,2.1136785,1.1713905,,,,6.0,,,,1.0,2.0,7,4,7,3.0,7.0,1.0,4.0,5,7,5,66.0,,,,,2,,,2.0,4.0,1,,1,2,Not applicable,6666.0,1,1,6,1985,,25,,,,,,3.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10100083,GB,1.5875027,0.8662013,2.1136785,1.830871,,,,4.0,,,,1.0,1.0,7,6,7,0.0,1.0,2.0,6.0,5,7,5,2.0,,,,,2,,,2.0,3.0,1,,1,2,Other,6666.0,3,2,1,1953,,57,,,,,,3.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10100174,GB,0.5291676,0.29782358,2.1136785,0.6295033,,,,0.0,,,,0.0,1.0,7,7,8,1.0,7.0,0.0,7.0,1,8,0,66.0,,,,,2,,,2.0,4.0,1,,1,2,Not applicable,6666.0,1,2,6,1948,,62,,,,,,3.0,,Scotland,,2010,-4
ESS5e03_6,5,3.6,18.08.2025,10100182,GB,0.5291676,0.40886047,2.1136785,0.8641996,,,,1.0,,,,1.0,2.0,5,5,7,1.0,7.0,3.0,7.0,5,3,0,2.0,,,,,1,,,2.0,3.0,1,,1,2,Other,6666.0,1,1,6,1939,,71,,,,,,3.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10100208,GB,0.5291676,0.37026152,2.1136785,0.7826138,,,,5.0,,,,0.0,1.0,7,5,5,66.0,0.0,0.0,4.0,8,0,88,4.0,,,,,3,,,2.0,1.0,1,,1,2,Other,6666.0,1,2,6,1962,,48,,,,,,2.0,,Scotland,,2010,3
ESS5e03_6,5,3.6,18.08.2025,10200216,GB,0.5291676,0.5541952,2.1136785,1.1713905,,,,7.0,,,,0.0,2.0,5,6,7,0.0,1.0,2.0,7.0,4,5,1,66.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,6666.0,2,1,1,1978,,32,,,,,,4.0,,Scotland,,2010,-1
ESS5e03_6,5,3.6,18.08.2025,10200232,GB,1.0583352,1.1083905,2.1136785,2.342781,,,,6.0,,,,0.0,2.0,10,5,5,1.0,6.0,2.0,5.0,5,0,0,66.0,,,,,1,,,2.0,4.0,1,,1,2,Not applicable,6666.0,3,1,2,1986,,24,,,,,,5.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10200240,GB,0.5291676,0.28873375,2.1136785,0.6102903,,,,0.0,,,,0.0,5.0,7,7,7,0.0,1.0,2.0,7.0,6,4,4,1.0,,,,,8,,,2.0,4.0,1,,1,2,Other,6666.0,1,2,6,1928,,82,,,,,,3.0,,Scotland,,2010,1
ESS5e03_6,5,3.6,18.08.2025,10200257,GB,1.0583352,0.9915618,2.1136785,2.0958428,,,,7.0,,,,1.0,2.0,5,6,7,1.0,1.0,1.0,1.0,7,6,4,66.0,,,,,2,,,2.0,3.0,2,,2,2,Roman Catholic,6666.0,3,1,2,1970,,40,,,,,,3.0,,Scotland,,2010,2
ESS5e03_6,5,3.6,18.08.2025,10200265,GB,0.5291676,0.4957809,2.1136785,1.0479214,,,,7.0,,,,66.0,0.0,7,7,6,1.0,1.0,1.0,7.0,5,9,8,66.0,,,,,2,,,2.0,2.0,1,,1,2,Not applicable,6666.0,1,1,6,1966,,44,,,,,,4.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10200273,GB,2.1166704,1.6199143,2.1136785,3.4239779,,,,7.0,,,,66.0,0.0,8,7,7,66.0,0.0,1.0,3.0,6,10,6,66.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,6666.0,4,2,2,1991,,19,,,,,,2.0,,Scotland,,2010,1
ESS5e03_6,5,3.6,18.08.2025,10200281,GB,0.5291676,0.2595336,2.1136785,0.54857063,,,,0.0,,,,0.0,2.0,2,5,6,0.0,4.0,2.0,7.0,4,4,2,2.0,,,,,3,,,2.0,3.0,1,,1,2,Not applicable,6666.0,1,1,6,1938,,72,,,,,,2.0,,Scotland,,2010,-1
ESS5e03_6,5,3.6,18.08.2025,10200299,GB,0.5291676,0.5541952,2.1136785,1.1713905,,,,7.0,,,,0.0,2.0,5,9,5,1.0,1.0,2.0,6.0,5,1,1,3.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,6666.0,1,1,6,1979,,31,,,,,,2.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10200307,GB,1.0583352,0.5774675,2.1136785,1.2205806,,,,6.0,,,,1.0,2.0,8,7,5,2.0,7.0,2.0,6.0,4,7,7,2.0,,,,,3,,,2.0,3.0,1,,1,2,Other,6666.0,2,2,1,1950,,60,,,,,,2.0,,Scotland,,2010,-1
ESS5e03_6,5,3.6,18.08.2025,10200315,GB,0.5291676,0.47707477,2.1136785,1.0083827,,,,7.0,,,,66.0,0.0,2,7,6,66.0,0.0,0.0,5.0,2,8,4,3.0,,,,,1,,,2.0,3.0,2,,2,2,Not applicable,6.0,1,1,6,1989,,21,,,,,,2.0,,Scotland,,2010,-3
ESS5e03_6,5,3.6,18.08.2025,10200331,GB,0.5291676,0.29782358,2.1136785,0.6295033,,,,0.0,,,,0.0,6.0,7,5,7,1.0,4.0,0.0,6.0,6,0,0,4.0,,,,,3,,,2.0,2.0,1,,1,2,Not applicable,6666.0,1,2,6,1932,,78,,,,,,1.0,,Scotland,,2010,1
ESS5e03_6,5,3.6,18.08.2025,10200349,GB,0.5291676,0.43082565,2.1136785,0.9106269,,,,7.0,,,,0.0,1.0,7,7,5,0.0,2.0,2.0,5.0,5,7,5,66.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,6666.0,1,2,6,1987,,23,,,,,,4.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10200364,GB,1.0583352,1.1083905,2.1136785,2.342781,,,,7.0,,,,66.0,0.0,7,7,6,1.0,1.0,1.0,3.0,2,6,4,3.0,,,,,1,,,2.0,4.0,1,,1,2,Not applicable,6666.0,2,1,1,1985,,25,,,,,,5.0,,Scotland,,2010,-3
ESS5e03_6,5,3.6,18.08.2025,10200372,GB,1.0583352,0.8616513,2.1136785,1.8212538,,,,7.0,,,,1.0,1.0,7,9,8,66.0,0.0,66.0,0.0,4,7,7,66.0,,,,,2,,,2.0,3.0,2,,2,2,Not applicable,6666.0,2,2,1,1983,,27,,,,,,4.0,,Scotland,,2010,-1
ESS5e03_6,5,3.6,18.08.2025,10200380,GB,1.0583352,0.766419,2.1136785,1.6199633,,,,7.0,,,,1.0,1.0,5,7,5,0.0,4.0,2.0,4.0,3,8,5,66.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,6.0,3,2,1,1963,,47,,,,,,1.0,,Scotland,,2010,-2
ESS5e03_6,5,3.6,18.08.2025,10300422,GB,0.5291676,0.28761896,2.1136785,0.607934,,,,7.0,,,,66.0,0.0,9,9,5,1.0,1.0,0.0,5.0,6,8,7,88.0,,,,,2,,,2.0,3.0,1,,1,2,Other,6666.0,1,1,6,1941,,69,,,,,,2.0,,Scotland,,2010,1
ESS5e03_6,5,3.6,18.08.2025,10300448,GB,1.0583352,0.80995715,2.1136785,1.7119889,,,,7.0,,,,66.0,0.0,5,8,3,66.0,0.0,1.0,6.0,5,88,88,66.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,6666.0,4,2,2,1994,,16,,,,,,3.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10300497,GB,1.0583352,0.59564716,2.1136785,1.2590066,,,,6.0,,,,0.0,4.0,7,6,6,66.0,0.0,1.0,7.0,5,8,5,3.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,10.0,2,2,1,1950,,60,,,,,,2.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10300505,GB,1.0583352,4.2721767,2.1136785,9.030008,,,,1.0,,,,0.0,3.0,8,3,6,66.0,0.0,2.0,7.0,5,5,3,66.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,6666.0,2,1,2,1941,,69,,,,,,3.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10300521,GB,1.0583352,0.8616513,2.1136785,1.8212538,,,,7.0,,,,66.0,0.0,7,5,5,7.0,7.0,0.0,4.0,4,1,0,3.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,13.0,2,2,1,1979,,31,,,,,,4.0,,Scotland,,2010,-1
ESS5e03_6,5,3.6,18.08.2025,10300554,GB,1.0583352,0.81772095,2.1136785,1.7283992,,,,0.0,,,,3.0,5.0,9,10,8,66.0,0.0,5.0,7.0,5,10,8,3.0,,,,,2,,,2.0,4.0,1,,1,2,Other,6666.0,2,1,2,1930,,80,,,,,,2.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10300562,GB,0.5291676,0.47707477,2.1136785,1.0083827,,,,7.0,,,,66.0,0.0,7,7,8,2.0,2.0,1.0,3.0,7,8,6,1.0,,,,,1,,,2.0,4.0,1,,1,2,Not applicable,6.0,1,1,6,1980,,30,,,,,,3.0,,Scotland,,2010,2
ESS5e03_6,5,3.6,18.08.2025,10300596,GB,1.0583352,0.9915618,2.1136785,2.0958428,,,,7.0,,,,66.0,0.0,7,4,5,1.0,2.0,2.0,3.0,5,5,3,1.0,,,,,2,,,2.0,2.0,1,,1,2,Not applicable,6666.0,4,1,2,1970,,40,,,,,,1.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10300604,GB,1.0583352,0.74052304,2.1136785,1.5652276,,,,6.0,,,,1.0,1.0,8,8,8,1.0,2.0,1.0,3.0,5,5,2,1.0,,,,,2,,,2.0,3.0,2,,1,2,Not applicable,2.0,2,2,1,1959,,51,,,,,,2.0,,Scotland,,2010,0
ESS5e03_6,5,3.6,18.08.2025,10400616,GB,1.5875027,1.4750291,2.1136785,3.1177373,,,,7.0,,,,1.0,1.0,6,5,7,1.0,2.0,1.0,3.0,4,7,3,3.0,,,,,2,,,1.0,3.0,1,,1,1,Islam / Muslim,6666.0,6,1,1,1982,,28,,,,,,2.0,,West Midlands (England),,2010,-1
ESS5e03_6,5,3.6,18.08.2025,10400632,GB,1.0583352,0.7631879,2.1136785,1.6131338,,,,6.0,,,,1.0,1.0,6,5,3,6.0,7.0,2.0,7.0,8,7,3,1.0,,,,,3,,,2.0,3.0,1,,1,2,Church of England / Anglican,6666.0,3,2,1,1961,,49,,,,,,5.0,,West Midlands (England),,2010,3
ESS5e03_6,5,3.6,18.08.2025,10400681,GB,0.5291676,0.3949382,2.1136785,0.83477235,,,,0.0,,,,66.0,0.0,5,7,5,66.0,0.0,3.0,7.0,5,4,3,66.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,6666.0,1,2,6,1966,,44,,,,,,2.0,,West Midlands (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10400707,GB,1.0583352,0.7631879,2.1136785,1.6131338,,,,7.0,,,,66.0,0.0,5,3,4,0.0,7.0,0.0,7.0,5,4,4,1.0,,,,,2,,,1.0,3.0,1,,1,1,Not applicable,2.0,2,2,1,1968,,42,,,,,,5.0,,West Midlands (England),,2010,0
ESS5e03_6,5,3.6,18.08.2025,10400715,GB,1.5875027,0.80243105,2.1136785,1.6960812,,,,1.0,,,,2.0,4.0,2,4,4,66.0,0.0,5.0,7.0,3,5,2,88.0,,,,,2,,,2.0,3.0,1,,1,2,Not applicable,6666.0,3,1,2,1949,,61,,,,,,1.0,,West Midlands (England),,2010,-2
ESS5e03_6,5,3.6,18.08.2025,10400731,GB,0.5291676,0.38159394,2.1136785,0.8065669,,,,7.0,,,,1.0,1.0,8,7,8,5.0,7.0,2.0,3.0,2,2,1,3.0,,,,,2,,,1.0,4.0,1,,1,2,Not applicable,1.0,1,2,6,1961,,49,,,,,,1.0,,West Midlands (England),,2010,-3
ESS5e03_6,5,3.6,18.08.2025,10400780,GB,1.5875027,1.7134717,2.1136785,3.6217282,,,,7.0,,,,1.0,1.0,8,4,6,66.0,0.0,1.0,4.0,7,7,4,66.0,,,,,1,,,2.0,4.0,1,,1,1,Church of England / Anglican,6666.0,4,1,1,1993,,17,,,,,,2.0,,West Midlands (England),,2010,2
