GB 	United Kingdom
UKC 	North East (England)
UKC1 	Tees Valley and Durham
UKC11 	Hartlepool and Stockton-on-Tees
UKC12 	South Teesside
UKC13 	Darlington
UKC14 	Durham CC
UKC2 	Northumberland and Tyne and Wear
UKC21 	Northumberland
UKC22 	Tyneside
UKC23 	Sunderland
UKD 	North West (England)
UKD1 	Cumbria
UKD11 	West Cumbria
UKD12 	East Cumbria
UKD3 	Greater Manchester
UKD33 	Manchester
UKD34 	Greater Manchester South West
UKD35 	Greater Manchester South East
UKD36 	Greater Manchester North West
UKD37 	Greater Manchester North East
UKD4 	Lancashire
UKD41 	Blackburn with Darwen
UKD42 	Blackpool
UKD44 	Lancaster and Wyre
UKD45 	Mid Lancashire
UKD46 	East Lancashire
UKD47 	Chorley and West Lancashire
UKD6 	Cheshire
UKD61 	Warrington
UKD62 	Cheshire East
UKD63 	Cheshire West and Chester
UKD7 	Merseyside
UKD71 	East Merseyside
UKD72 	Liverpool
UKD73 	Sefton
UKD74 	Wirral
UKE 	Yorkshire and the Humber
UKE1 	East Yorkshire and Northern Lincolnshire
UKE11 	Kingston upon Hull, City of
UKE12 	East Riding of Yorkshire
UKE13 	North and North East Lincolnshire
UKE2 	North Yorkshire
UKE21 	York
UKE22 	North Yorkshire CC
UKE3 	South Yorkshire
UKE31 	Barnsley, Doncaster and Rotherham
UKE32 	Sheffield
UKE4 	West Yorkshire
UKE41 	Bradford
UKE42 	Leeds
UKE44 	Calderdale and Kirklees
UKE45 	Wakefield
UKF 	East Midlands (England)
UKF1 	Derbyshire and Nottinghamshire
UKF11 	Derby
UKF12 	East Derbyshire
UKF13 	South and West Derbyshire
UKF14 	Nottingham
UKF15 	North Nottinghamshire
UKF16 	South Nottinghamshire
UKF2 	Leicestershire, Rutland and Northamptonshire
UKF21 	Leicester
UKF22 	Leicestershire CC and Rutland
UKF24 	West Northamptonshire
UKF25 	North Northamptonshire
UKF3 	Lincolnshire
UKF30 	Lincolnshire
UKG 	West Midlands (England)
UKG1 	Herefordshire, Worcestershire and Warwickshire
UKG11 	Herefordshire, County of
UKG12 	Worcestershire
UKG13 	Warwickshire
UKG2 	Shropshire and Staffordshire
UKG21 	Telford and Wrekin
UKG22 	Shropshire CC
UKG23 	Stoke-on-Trent
UKG24 	Staffordshire CC
UKG3 	West Midlands
UKG31 	Birmingham
UKG32 	Solihull
UKG33 	Coventry
UKG36 	Dudley
UKG37 	Sandwell
UKG38 	Walsall
UKG39 	Wolverhampton
UKH 	East of England
UKH1 	East Anglia
UKH11 	Peterborough
UKH12 	Cambridgeshire CC
UKH14 	Suffolk
UKH15 	Norwich and East Norfolk
UKH16 	North and West Norfolk
UKH17 	Breckland and South Norfolk
UKH2 	Bedfordshire and Hertfordshire
UKH21 	Luton
UKH23 	Hertfordshire
UKH24 	Bedford
UKH25 	Central Bedfordshire
UKH3 	Essex
UKH31 	Southend-on-Sea
UKH32 	Thurrock
UKH34 	Essex Haven Gateway
UKH35 	West Essex
UKH36 	Heart of Essex
UKH37 	Essex Thames Gateway
UKI 	London
UKI3 	Inner London — West
UKI31 	Camden and City of London
UKI32 	Westminster
UKI33 	Kensington & Chelsea and Hammersmith & Fulham
UKI34 	Wandsworth
UKI4 	Inner London — East
UKI41 	Hackney and Newham
UKI42 	Tower Hamlets
UKI43 	Haringey and Islington
UKI44 	Lewisham and Southwark
UKI45 	Lambeth
UKI5 	Outer London — East and North East
UKI51 	Bexley and Greenwich
UKI52 	Barking & Dagenham and Havering
UKI53 	Redbridge and Waltham Forest
UKI54 	Enfield
UKI6 	Outer London — South
UKI61 	Bromley
UKI62 	Croydon
UKI63 	Merton, Kingston upon Thames and Sutton
UKI7 	Outer London — West and North West
UKI71 	Barnet
UKI72 	Brent
UKI73 	Ealing
UKI74 	Harrow and Hillingdon
UKI75 	Hounslow and Richmond upon Thames
UKJ 	South East (England)
UKJ1 	Berkshire, Buckinghamshire and Oxfordshire
UKJ11 	Berkshire
UKJ12 	Milton Keynes
UKJ13 	Buckinghamshire CC
UKJ14 	Oxfordshire
UKJ2 	Surrey, East and West Sussex
UKJ21 	Brighton and Hove
UKJ22 	East Sussex CC
UKJ25 	West Surrey
UKJ26 	East Surrey
UKJ27 	West Sussex (South West)
UKJ28 	West Sussex (North East)
UKJ3 	Hampshire and Isle of Wight
UKJ31 	Portsmouth
UKJ32 	Southampton
UKJ34 	Isle of Wight
UKJ35 	South Hampshire
UKJ36 	Central Hampshire
UKJ37 	North Hampshire
UKJ4 	Kent
UKJ41 	Medway
UKJ43 	Kent Thames Gateway
UKJ44 	East Kent
UKJ45 	Mid Kent
UKJ46 	West Kent
UKK 	South West (England)
UKK1 	Gloucestershire, Wiltshire and Bristol/Bath area
UKK11 	Bristol, City of
UKK12 	Bath and North East Somerset, North Somerset and South Gloucestershire
UKK13 	Gloucestershire
UKK14 	Swindon
UKK15 	Wiltshire CC
UKK2 	Dorset and Somerset
UKK23 	Somerset
UKK24 	Bournemouth, Christchurch and Poole
UKK25 	Dorset
UKK3 	Cornwall and Isles of Scilly
UKK30 	Cornwall and Isles of Scilly
UKK4 	Devon
UKK41 	Plymouth
UKK42 	Torbay
UKK43 	Devon CC
UKL 	Wales
UKL1 	West Wales and The Valleys
UKL11 	Isle of Anglesey
UKL12 	Gwynedd
UKL13 	Conwy and Denbighshire
UKL14 	South West Wales
UKL15 	Central Valleys
UKL16 	Gwent Valleys
UKL17 	Bridgend and Neath Port Talbot
UKL18 	Swansea
UKL2 	East Wales
